sample_id,cs_br_concentration,pb_br2_concentration,temperature,solvent_type,oa_concentration,oam_concentration,reaction_time,phase_label,bandgap,plqy,emission_peak,emission_fwhm,particle_size,size_distribution_width,lifetime,stability_score,phase_purity
208,1.98,1.18,102.7,0,0.321,0.092,16.1,1,3.89,0.147,414.0,18.7,5.8,0.27,4.6,0.86,0.95
209,1.8,0.7,159.4,3,0.396,0.16,17.0,0,2.29,0.952,528.3,21.0,6.8,0.25,19.9,0.94,0.99
210,2.27,0.84,194.8,4,0.324,0.313,27.7,0,2.35,0.947,524.9,17.9,11.8,0.23,16.7,0.68,0.99
211,0.73,1.58,143.5,3,0.414,0.247,10.6,0,2.47,0.739,518.3,17.6,13.3,0.26,18.6,0.61,0.96
212,1.95,0.78,118.0,1,0.014,0.488,10.9,1,3.76,0.161,391.2,22.9,4.3,0.46,6.2,0.99,0.88
213,0.92,1.08,142.3,4,0.128,0.048,6.5,0,2.32,1.0,543.7,24.0,9.9,0.42,13.6,0.52,0.85
214,1.74,0.95,139.5,2,0.066,0.446,6.0,1,3.95,0.178,396.4,18.7,5.0,0.41,5.2,0.72,0.85
215,1.13,1.97,149.9,2,0.374,0.463,12.1,0,2.17,0.69,519.3,22.0,11.7,0.5,12.3,0.88,0.83
216,2.21,1.49,179.8,0,0.094,0.027,9.6,0,2.36,0.896,535.8,16.8,12.8,0.5,15.2,0.78,0.89
217,0.72,1.58,114.8,2,0.047,0.434,9.5,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.95,0.92
218,1.67,1.96,152.6,4,0.09,0.46,11.2,0,2.3,0.874,525.0,28.3,8.8,0.24,6.9,0.55,0.86
219,0.56,1.19,170.8,3,0.227,0.478,19.9,2,3.15,0.714,461.2,13.9,6.0,0.3,4.6,0.98,0.91
220,0.92,0.57,164.4,2,0.399,0.372,18.7,0,2.14,0.864,524.2,25.1,10.2,0.32,18.4,0.69,0.88
221,1.79,1.93,115.4,2,0.245,0.216,25.2,4,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.84,0.83
222,1.83,1.75,151.3,3,0.223,0.194,11.7,0,2.39,0.856,515.7,19.1,10.9,0.35,13.4,0.99,0.94
223,1.8,1.57,193.1,4,0.315,0.262,12.3,0,2.4,0.737,523.1,24.7,10.8,0.36,9.5,0.65,0.81
224,0.65,0.57,110.8,3,0.207,0.232,23.0,4,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.88,0.8
225,1.98,1.19,178.6,3,0.023,0.208,22.6,0,2.4,0.773,503.4,21.7,6.5,0.3,22.9,0.61,0.82
226,2.46,0.89,167.3,3,0.267,0.003,7.9,0,2.21,0.648,522.2,14.3,13.5,0.38,8.1,0.99,0.87
227,1.85,1.54,139.5,2,0.044,0.068,9.8,1,3.92,0.181,388.8,20.6,5.1,0.34,5.9,0.92,0.97
228,1.58,0.63,177.0,1,0.237,0.011,9.2,0,2.36,0.724,495.4,21.1,6.1,0.38,17.0,0.92,0.81
229,0.52,1.45,171.3,3,0.424,0.369,19.9,2,3.09,0.372,456.7,20.3,6.3,0.38,2.7,0.91,0.9
230,1.93,1.29,142.2,2,0.277,0.134,21.2,1,3.71,0.169,405.2,17.0,4.0,0.33,3.9,0.86,0.89
231,1.38,1.26,158.8,2,0.461,0.427,22.9,0,2.32,0.919,509.3,22.0,8.4,0.48,12.3,0.74,0.99
232,0.82,0.81,169.1,0,0.334,0.065,10.0,0,2.22,0.884,526.1,19.9,11.7,0.26,15.9,0.94,0.87
233,0.82,1.74,189.4,0,0.403,0.169,7.8,2,2.91,0.469,475.3,20.8,3.2,0.44,5.4,0.78,0.98
234,2.21,1.81,160.4,0,0.353,0.463,15.9,0,2.13,0.826,515.9,22.5,12.2,0.43,23.8,0.52,0.82
235,1.76,1.81,191.1,1,0.364,0.354,24.0,0,2.24,0.84,515.8,24.2,7.6,0.24,18.9,0.88,0.8
236,2.17,1.21,128.7,1,0.043,0.186,23.9,1,4.4,0.103,427.0,24.1,6.0,0.33,5.5,0.71,0.88
237,1.42,1.78,179.5,2,0.472,0.221,24.3,2,3.17,0.426,445.8,21.2,9.2,0.32,5.3,0.7,0.81
238,2.35,0.73,157.5,4,0.486,0.21,27.1,0,2.19,0.912,508.6,22.5,9.3,0.45,20.6,0.57,0.88
239,1.79,1.83,162.4,4,0.326,0.349,27.2,0,2.22,0.745,523.7,20.8,9.8,0.3,13.7,0.56,1.0
240,1.07,0.64,155.2,4,0.17,0.318,5.6,0,2.14,0.725,518.1,17.8,10.8,0.33,6.9,0.92,0.85
241,1.51,0.69,175.7,0,0.224,0.286,5.1,0,2.29,0.814,536.5,17.7,7.2,0.48,10.1,0.62,0.86
242,1.83,1.72,157.3,1,0.357,0.26,11.2,0,2.13,0.638,510.8,21.0,9.4,0.41,16.0,0.53,0.98
243,1.45,1.17,136.9,4,0.201,0.279,24.5,1,3.83,0.196,395.7,12.4,2.8,0.41,8.1,0.71,0.83
244,1.51,1.23,145.8,4,0.432,0.059,10.3,1,3.8,0.068,414.1,19.0,5.9,0.49,3.4,0.56,0.91
245,0.58,0.73,137.1,2,0.152,0.243,24.8,0,2.24,0.773,518.3,16.1,13.3,0.26,17.4,0.56,0.87
246,2.24,1.13,157.3,4,0.226,0.169,14.4,0,2.19,0.827,515.4,23.3,11.8,0.43,13.6,0.86,0.82
247,1.75,1.44,138.7,3,0.169,0.023,21.8,1,3.8,0.112,414.2,21.0,5.5,0.21,2.6,0.65,0.93
248,1.79,0.63,195.5,4,0.288,0.026,19.3,0,2.17,0.589,523.2,24.8,13.4,0.25,23.7,0.62,0.94
249,2.28,1.17,180.7,4,0.16,0.294,17.3,0,2.32,0.766,525.3,20.6,12.4,0.31,26.7,0.77,0.86
250,0.87,1.65,115.4,3,0.339,0.029,29.0,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.86,0.86
251,0.7,0.71,189.3,2,0.188,0.414,8.0,0,2.3,0.667,503.3,18.9,10.1,0.22,16.6,0.73,0.88
252,1.47,1.11,123.4,0,0.135,0.482,21.9,1,3.91,0.214,412.8,19.0,4.2,0.39,5.5,0.6,0.99
253,1.25,1.98,178.2,4,0.476,0.481,18.9,2,3.17,0.498,476.2,19.0,7.5,0.22,4.0,0.96,0.85
254,1.0,1.52,199.9,1,0.293,0.255,6.1,2,2.89,0.322,456.2,21.2,9.4,0.37,5.8,0.64,0.89
255,1.72,1.94,131.8,2,0.318,0.49,22.7,0,2.25,0.725,526.2,16.9,14.9,0.24,24.8,0.96,0.92
256,0.51,0.51,117.4,4,0.448,0.352,24.1,4,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.54,0.81
257,2.16,1.51,167.2,2,0.486,0.188,20.0,0,2.16,0.897,504.5,19.8,11.0,0.31,15.2,0.87,0.95
258,1.86,1.56,119.2,4,0.313,0.404,10.5,4,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.98,0.81
259,1.49,1.56,160.6,0,0.098,0.411,14.9,0,2.19,0.751,506.1,15.8,9.1,0.37,12.0,0.53,0.83
260,0.63,0.89,157.0,1,0.441,0.364,11.9,2,2.92,0.432,477.7,16.6,7.6,0.46,3.0,0.5,0.89
261,1.85,1.48,185.4,2,0.216,0.498,11.9,0,2.21,0.82,521.2,20.4,5.9,0.33,19.0,0.72,0.8
262,0.89,0.62,157.2,0,0.495,0.113,22.2,0,2.36,0.767,518.3,19.5,10.6,0.33,14.2,0.51,0.96
263,2.37,1.76,124.7,3,0.119,0.17,6.4,1,3.72,0.227,434.3,16.3,4.4,0.39,2.7,0.79,0.82
264,0.62,0.55,131.3,0,0.391,0.031,25.1,3,2.36,0.248,485.4,25.5,9.4,0.32,6.3,0.81,0.6
265,1.32,1.8,178.7,4,0.005,0.192,24.9,2,3.05,0.355,444.9,20.7,11.0,0.3,2.8,0.6,0.82
266,1.69,0.6,178.9,1,0.452,0.063,17.7,0,2.16,0.816,522.1,21.5,11.0,0.38,15.7,0.76,0.93
267,1.22,1.38,154.1,1,0.074,0.154,13.6,0,2.43,0.807,518.5,14.3,9.4,0.46,14.6,0.71,0.84
268,0.9,1.86,178.5,2,0.095,0.238,22.3,2,2.67,0.481,469.3,18.7,6.4,0.3,6.4,0.55,0.98
269,2.32,1.24,192.0,1,0.347,0.233,10.3,0,2.32,0.618,523.4,15.5,8.2,0.2,20.5,0.5,0.87
270,1.61,0.71,144.0,4,0.456,0.18,29.4,1,3.95,0.189,412.3,22.7,5.8,0.27,8.4,0.6,0.84
271,1.02,0.65,183.1,1,0.189,0.394,7.8,0,2.27,0.87,525.4,27.7,7.3,0.5,10.0,0.94,0.98
272,0.63,0.72,192.4,1,0.096,0.189,14.4,0,2.37,0.789,533.3,21.4,10.8,0.44,20.7,0.66,0.81
273,2.09,1.81,185.2,4,0.443,0.105,7.0,0,2.28,0.769,503.3,17.8,9.8,0.35,10.3,0.73,0.86
274,1.25,1.54,171.6,3,0.237,0.291,21.0,0,2.26,0.745,528.7,20.2,8.7,0.33,18.5,0.69,0.83
275,2.18,0.88,108.5,0,0.148,0.259,10.8,1,4.13,0.165,401.5,17.4,5.9,0.35,5.8,0.64,0.8
276,1.38,0.9,107.6,0,0.147,0.251,18.7,1,4.04,0.169,411.1,17.6,5.5,0.3,6.9,0.84,0.85
277,1.99,1.65,184.5,1,0.353,0.499,30.0,0,2.29,0.58,528.4,22.3,10.1,0.32,7.1,0.7,0.92
278,1.81,1.21,151.3,1,0.433,0.114,23.1,0,2.31,0.932,509.4,21.1,9.3,0.23,10.8,0.92,0.89
279,2.38,1.13,143.9,4,0.015,0.069,26.8,1,3.79,0.227,388.0,18.7,5.0,0.33,6.1,0.88,0.95
280,1.88,0.95,158.7,4,0.393,0.461,8.8,0,2.23,0.923,509.1,25.6,8.4,0.26,4.6,0.7,0.91
281,0.88,0.66,157.0,3,0.32,0.152,9.3,0,2.38,0.968,518.1,22.1,9.7,0.32,25.4,0.6,0.86
282,1.55,1.18,136.9,0,0.086,0.43,15.3,1,3.95,0.17,393.3,26.8,4.7,0.46,7.1,0.56,0.84
283,1.36,1.56,147.5,4,0.288,0.155,10.1,0,2.24,0.817,530.8,21.8,9.9,0.27,8.9,0.66,0.91
284,1.48,1.19,103.9,0,0.144,0.44,16.4,1,3.8,0.075,403.9,20.7,6.3,0.27,3.8,0.95,0.95
285,1.42,1.87,118.3,4,0.048,0.349,6.1,4,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.77,0.93
286,0.63,1.59,190.2,3,0.206,0.381,8.0,2,3.16,0.336,474.8,19.9,5.4,0.32,5.7,0.52,0.81
287,1.78,1.51,146.2,2,0.373,0.428,14.9,3,2.78,0.602,509.5,24.4,7.5,0.35,7.3,0.62,0.6
288,2.4,0.71,182.0,1,0.085,0.009,7.5,0,2.35,0.703,517.8,22.4,13.0,0.4,17.7,0.61,0.81
289,1.85,0.82,169.7,4,0.321,0.358,27.4,0,2.38,0.788,523.1,20.2,13.4,0.43,19.4,0.62,0.82
290,1.34,1.98,133.7,1,0.34,0.032,29.0,3,2.47,0.463,454.6,19.1,8.9,0.35,5.7,0.81,0.6
291,1.75,1.9,139.5,3,0.06,0.107,13.9,0,2.22,0.729,525.0,22.1,8.3,0.22,17.9,0.68,0.81
292,0.94,0.95,159.9,0,0.356,0.396,28.1,0,2.17,0.799,524.5,23.8,8.7,0.32,22.6,0.57,0.84
293,2.02,1.53,197.8,3,0.034,0.009,27.8,0,2.22,0.636,518.9,19.9,6.9,0.2,23.4,0.56,0.85
294,1.36,0.87,107.9,1,0.187,0.148,8.8,1,3.94,0.154,414.0,18.1,6.2,0.48,4.9,0.64,0.93
295,2.02,1.28,197.8,2,0.375,0.115,23.3,0,2.21,0.809,523.2,15.6,15.2,0.44,13.8,0.94,0.9
296,0.87,1.44,106.5,3,0.035,0.096,20.9,4,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.6,0.82
297,1.69,1.75,193.2,1,0.254,0.213,16.7,0,2.33,0.899,513.3,13.0,9.0,0.26,8.9,0.93,0.9
298,2.4,1.04,137.8,3,0.221,0.253,23.4,1,3.92,0.058,410.8,15.7,4.8,0.43,7.7,0.96,0.92
299,0.81,1.59,125.7,3,0.153,0.142,19.1,0,2.22,0.937,527.4,26.0,14.2,0.42,15.3,0.69,0.88
300,1.33,1.09,174.2,3,0.245,0.321,19.7,0,2.52,0.855,510.3,21.1,11.7,0.28,20.0,0.96,0.94
301,1.52,1.23,168.8,0,0.325,0.463,23.4,0,2.48,0.839,509.8,18.6,7.8,0.28,8.2,0.73,0.94
302,1.01,1.4,195.2,1,0.006,0.385,21.1,2,3.03,0.4,437.9,18.1,6.3,0.33,4.8,0.91,0.85
303,1.1,1.95,165.8,3,0.293,0.367,23.8,2,3.17,0.358,472.1,21.6,9.2,0.28,1.5,0.6,0.95
304,1.9,0.51,116.8,3,0.001,0.035,22.4,1,3.61,0.139,409.0,16.7,4.4,0.26,7.2,0.59,0.99
305,1.4,1.72,118.6,0,0.375,0.405,9.8,4,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.96,0.82
306,1.77,0.62,108.6,0,0.138,0.171,19.6,1,3.74,0.076,413.1,20.6,5.3,0.43,7.6,0.99,0.82
307,1.54,0.51,160.3,2,0.466,0.237,13.4,0,2.31,0.655,535.2,20.0,13.7,0.48,12.5,0.53,0.87
308,1.16,0.65,145.7,3,0.363,0.444,8.5,1,3.73,0.069,391.9,24.6,4.7,0.44,3.1,0.83,0.9
309,1.33,0.78,198.6,2,0.008,0.18,6.1,0,2.4,0.75,529.6,18.1,8.4,0.38,19.6,0.97,0.99
310,2.47,1.79,190.5,3,0.147,0.098,8.6,0,2.35,0.623,511.4,20.0,9.0,0.44,12.6,0.77,0.97
311,0.84,1.17,111.6,4,0.12,0.106,23.8,4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.54,0.89
312,1.93,0.74,192.9,3,0.383,0.11,11.4,0,2.34,0.769,528.1,19.8,11.9,0.41,12.8,0.94,0.99
313,2.03,1.4,164.4,3,0.455,0.371,23.1,0,2.36,0.546,513.3,19.9,10.6,0.23,19.1,0.67,0.92
314,0.88,1.91,157.3,1,0.427,0.477,19.4,2,2.95,0.45,437.3,22.6,7.4,0.31,4.8,0.84,0.96
315,1.54,1.4,122.2,3,0.005,0.426,12.9,0,2.28,0.867,517.6,19.0,9.0,0.45,23.1,0.91,0.81
316,1.14,1.25,168.9,2,0.498,0.353,17.0,0,2.14,0.805,499.9,17.2,13.9,0.26,23.1,0.87,0.96
317,1.9,0.58,186.5,1,0.428,0.364,12.5,0,2.35,0.769,529.9,17.0,10.3,0.3,17.7,0.7,0.81
318,1.95,0.92,192.3,4,0.197,0.065,23.8,0,2.37,0.617,517.2,20.8,7.9,0.41,17.3,0.65,0.83
319,0.94,1.62,173.5,0,0.181,0.428,7.5,2,2.97,0.257,435.6,19.2,11.0,0.22,3.9,0.68,0.89
320,2.39,0.68,151.5,2,0.297,0.485,20.7,0,2.37,0.816,504.8,24.2,10.2,0.31,13.0,0.85,0.96
321,1.82,1.67,186.5,3,0.138,0.327,14.2,0,2.4,0.858,514.2,23.9,7.9,0.37,15.9,0.64,0.95
322,2.09,0.77,148.4,3,0.149,0.063,13.1,1,3.81,0.053,395.1,19.1,4.8,0.45,3.1,0.89,0.91
323,0.63,1.76,153.9,0,0.377,0.104,21.5,2,3.12,0.584,459.6,17.5,7.9,0.21,5.6,0.79,0.93
324,0.68,0.89,175.3,0,0.49,0.253,14.1,2,2.75,0.421,460.1,17.7,8.0,0.36,9.6,0.89,0.93
325,1.39,1.37,169.5,4,0.455,0.498,20.2,0,2.24,0.664,522.6,23.7,10.2,0.26,22.7,0.57,0.91
326,1.68,0.92,172.9,3,0.037,0.127,14.5,0,2.27,0.824,519.7,18.7,12.1,0.22,9.2,0.87,1.0
327,1.89,0.79,137.2,4,0.302,0.21,8.8,1,4.11,0.147,430.1,21.4,5.2,0.23,5.5,0.77,0.81
328,1.78,1.04,133.4,2,0.073,0.399,11.8,1,4.36,0.23,416.4,20.3,7.4,0.36,4.0,0.94,0.92
329,2.11,0.64,134.9,4,0.433,0.276,20.2,1,4.0,0.131,424.1,17.2,4.7,0.49,7.7,0.77,0.92
330,2.2,1.22,112.8,0,0.343,0.357,21.4,1,4.06,0.201,406.3,18.2,7.2,0.43,3.5,0.84,0.88
331,1.42,1.16,135.4,3,0.251,0.138,15.7,1,4.29,0.113,415.0,24.6,4.2,0.32,1.2,0.66,0.82
332,0.66,1.59,194.5,1,0.288,0.042,12.1,2,3.15,0.372,489.2,16.9,8.2,0.24,0.8,0.75,0.94
333,1.85,1.3,112.5,0,0.308,0.455,23.6,1,3.83,0.074,410.0,19.5,4.3,0.45,0.5,0.94,0.91
334,1.72,1.41,196.5,4,0.452,0.087,14.2,0,2.28,0.826,513.9,22.7,10.0,0.4,14.1,0.92,0.97
335,2.22,0.94,148.3,2,0.107,0.369,19.2,1,3.93,0.192,429.7,20.4,4.4,0.34,4.5,0.81,0.9
336,1.21,1.42,132.9,2,0.054,0.175,23.1,0,2.41,0.806,524.0,22.5,12.3,0.47,11.9,0.5,0.95
337,1.0,1.21,137.4,2,0.214,0.091,25.3,0,2.12,0.872,524.9,17.4,11.6,0.46,16.9,0.6,0.84
338,0.58,1.09,174.4,0,0.08,0.099,17.0,2,2.84,0.382,446.7,21.5,8.9,0.3,2.0,0.88,0.98
339,1.5,1.89,184.3,3,0.066,0.479,24.8,2,3.0,0.515,478.2,25.3,8.2,0.33,6.2,0.8,0.8
340,1.46,0.92,108.3,3,0.124,0.076,17.8,1,3.9,0.235,441.7,20.1,2.6,0.26,8.7,0.85,0.96
341,1.9,1.25,118.1,4,0.314,0.074,8.0,1,3.77,0.173,413.0,22.0,5.5,0.46,5.1,0.69,0.9
342,1.9,1.97,122.2,3,0.24,0.255,21.1,0,2.29,0.881,513.8,19.6,11.7,0.21,16.4,0.53,0.95
343,0.92,1.21,190.8,0,0.215,0.126,17.3,2,2.86,0.492,451.1,20.2,6.0,0.31,4.0,0.91,0.95
344,1.68,1.41,123.8,2,0.105,0.192,27.2,0,2.3,0.749,501.1,18.9,7.7,0.41,12.3,0.96,0.81
345,1.59,1.01,172.5,1,0.267,0.077,8.2,0,2.25,0.595,521.1,17.4,6.1,0.31,13.3,0.81,0.82
346,1.37,1.22,152.4,4,0.395,0.083,11.9,0,2.24,1.0,544.9,22.0,12.0,0.35,23.5,0.77,0.9
347,0.65,1.16,150.9,4,0.39,0.2,11.8,2,2.94,0.504,463.7,23.8,10.3,0.34,2.6,0.85,0.91
348,1.11,0.83,170.8,4,0.06,0.112,18.3,0,2.15,0.616,519.1,20.7,11.1,0.49,13.8,0.99,0.84
349,0.73,1.47,163.3,2,0.162,0.473,27.1,2,2.89,0.503,468.1,24.2,7.3,0.2,4.7,0.68,0.95
350,1.06,0.88,101.6,4,0.053,0.373,14.5,1,3.67,0.067,397.4,20.9,4.1,0.28,3.7,0.79,0.96
351,2.01,0.73,123.2,3,0.184,0.451,7.3,1,3.95,0.179,416.3,15.2,4.5,0.39,5.2,0.51,0.83
352,0.86,1.09,160.8,0,0.072,0.213,16.4,2,2.81,0.37,459.0,20.0,7.2,0.23,4.7,0.69,0.82
353,0.53,1.75,193.5,1,0.124,0.042,8.6,2,2.88,0.438,489.5,23.8,7.2,0.3,7.0,0.85,0.84
354,1.46,1.34,144.4,1,0.154,0.239,11.1,0,2.29,0.925,523.0,18.7,10.1,0.47,14.4,0.71,0.8
355,0.95,0.84,138.5,2,0.328,0.113,27.0,0,2.44,0.676,524.6,21.1,10.8,0.49,16.5,0.68,0.92
356,0.74,1.88,192.0,0,0.302,0.089,18.3,2,2.72,0.362,470.4,18.2,9.8,0.3,8.5,0.55,0.98
357,1.82,1.9,181.1,0,0.394,0.431,29.5,0,2.33,0.845,503.1,25.4,11.2,0.23,13.6,0.71,0.95
358,0.79,0.98,112.8,3,0.176,0.247,17.0,4,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.57,0.99
359,2.34,1.07,154.9,4,0.267,0.266,25.5,0,2.22,0.709,514.9,17.8,7.3,0.42,13.9,0.5,1.0
360,0.53,1.34,195.8,0,0.03,0.175,26.2,2,2.79,0.574,443.5,21.6,7.8,0.46,9.4,0.62,0.97
361,0.61,0.71,196.2,1,0.189,0.013,29.1,0,2.26,0.756,505.9,22.6,13.4,0.46,19.7,0.54,0.82
362,1.64,1.72,115.0,1,0.235,0.07,18.2,4,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.74,0.94
363,1.39,1.47,101.3,0,0.078,0.441,5.8,4,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.92,0.94
364,2.25,1.33,183.0,4,0.251,0.355,15.6,0,2.3,0.92,518.0,19.8,11.0,0.26,12.4,0.59,0.95
365,1.62,1.76,181.7,3,0.239,0.326,15.1,0,2.25,0.891,523.2,21.1,8.6,0.23,9.4,0.67,0.85
366,0.83,0.66,121.2,0,0.378,0.155,18.8,1,4.16,0.142,407.1,28.2,4.7,0.37,1.7,0.52,0.86
367,2.39,0.51,135.7,2,0.479,0.25,12.9,1,3.76,0.114,418.9,23.3,6.0,0.3,6.9,0.75,0.96
368,0.55,1.69,147.7,0,0.145,0.076,16.6,0,2.23,0.933,528.8,16.4,12.7,0.4,15.3,0.98,0.9
369,1.96,1.48,193.0,2,0.224,0.066,12.3,0,2.24,0.827,519.0,15.6,9.3,0.27,21.8,0.98,0.91
370,2.49,0.65,101.5,2,0.274,0.484,24.5,1,3.89,0.169,413.5,26.4,4.1,0.25,4.6,0.54,0.84
371,2.04,0.89,147.3,2,0.382,0.221,28.1,1,4.09,0.274,395.2,20.2,4.1,0.29,2.7,0.84,0.89
372,1.52,1.44,131.4,0,0.341,0.253,11.6,0,2.38,0.743,507.3,16.1,8.0,0.27,15.3,0.93,0.86
373,0.82,1.1,107.3,3,0.437,0.335,13.7,4,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.77,0.96
374,0.72,0.77,110.8,3,0.384,0.1,13.2,4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.85,0.9
375,1.06,0.56,115.6,3,0.073,0.107,19.2,1,3.89,0.236,408.0,22.1,6.7,0.44,6.4,0.61,0.8
376,2.02,1.13,125.2,1,0.042,0.035,15.1,1,3.88,0.126,432.6,17.4,5.8,0.4,4.8,0.55,0.98
377,1.18,1.63,116.5,2,0.471,0.241,18.4,4,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.98,0.89
378,2.33,1.36,182.3,4,0.392,0.299,6.9,0,2.23,0.741,543.6,19.8,9.6,0.29,6.8,0.58,0.89
379,0.79,1.8,111.4,3,0.131,0.361,29.7,4,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.82,0.92
380,0.57,1.62,118.8,4,0.387,0.3,10.4,4,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.6,0.94
381,2.41,1.06,136.4,2,0.448,0.251,26.7,1,3.81,0.081,395.2,17.8,5.3,0.36,7.0,0.88,0.82
382,0.85,1.14,117.7,4,0.081,0.218,12.1,4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.85,0.99
383,2.31,0.65,108.8,0,0.045,0.008,28.3,1,3.64,0.216,425.1,17.4,4.1,0.39,1.4,0.83,0.97
384,0.92,1.67,155.2,0,0.098,0.235,8.1,2,2.89,0.667,454.6,22.9,5.6,0.41,5.0,0.69,0.84
385,1.07,1.82,126.4,3,0.337,0.002,27.7,3,2.56,0.612,485.8,16.9,10.3,0.42,4.5,0.79,0.6
386,1.36,1.33,139.1,4,0.322,0.414,25.0,0,2.36,0.898,530.3,19.7,11.2,0.47,9.7,0.55,0.96
387,1.51,1.45,178.4,2,0.419,0.08,13.1,3,2.57,0.373,480.5,18.3,9.1,0.39,0.5,0.79,0.6
388,0.55,1.6,198.3,2,0.093,0.326,10.5,2,2.79,0.516,481.6,14.6,7.6,0.31,5.0,0.54,0.83
389,0.55,1.98,186.7,0,0.23,0.298,7.7,2,2.95,0.407,484.9,21.9,9.5,0.31,6.0,0.75,0.8
390,0.65,1.94,107.6,3,0.188,0.157,27.7,4,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.59,0.8
391,0.86,1.35,160.7,0,0.059,0.171,13.7,2,3.1,0.446,474.6,20.0,8.1,0.38,6.0,0.77,0.9
392,2.02,0.82,136.5,1,0.015,0.069,7.1,1,3.86,0.126,408.5,23.9,5.7,0.4,6.7,0.73,0.96
393,1.37,1.92,192.2,2,0.086,0.344,27.2,2,2.87,0.548,442.3,18.0,6.7,0.49,8.3,0.74,0.98
394,1.35,1.62,181.6,4,0.054,0.192,10.0,0,2.45,0.689,500.1,22.2,11.3,0.32,14.0,0.8,0.98
395,2.4,1.3,139.8,0,0.09,0.161,24.8,1,3.85,0.165,402.0,20.3,4.2,0.3,4.0,0.51,0.87
396,1.43,1.69,189.9,4,0.033,0.142,10.3,0,2.15,0.741,537.1,18.1,8.8,0.39,9.3,0.84,0.89
397,2.13,0.8,105.0,3,0.249,0.495,15.5,1,3.99,0.172,403.2,17.8,5.9,0.39,4.2,0.93,1.0
398,2.32,0.93,184.2,3,0.019,0.267,18.2,0,2.41,0.811,525.0,19.2,8.2,0.3,19.1,0.54,0.95
399,1.49,0.57,129.8,3,0.247,0.321,27.8,1,4.16,0.052,418.5,20.7,5.4,0.5,4.0,0.93,0.94
400,0.95,0.63,172.4,2,0.408,0.269,5.1,0,2.5,0.867,523.0,19.2,10.2,0.41,18.7,0.9,0.88
401,1.9,1.89,158.3,0,0.063,0.431,23.8,0,2.4,0.778,515.2,16.1,10.3,0.4,13.9,0.99,0.86
402,1.96,0.84,126.4,2,0.356,0.177,25.9,1,3.91,0.222,424.3,23.1,3.8,0.26,6.1,0.84,0.89
403,1.27,1.23,134.0,4,0.381,0.257,12.8,0,2.26,0.659,522.7,24.6,9.2,0.32,23.1,0.73,0.92
404,0.91,1.1,106.9,3,0.082,0.154,26.7,4,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.87,0.85
405,2.29,0.78,102.9,4,0.226,0.133,28.2,1,4.23,0.196,418.0,22.9,5.7,0.35,6.5,0.55,0.93
406,1.96,1.13,129.4,3,0.088,0.138,20.2,1,3.95,0.126,409.2,20.7,5.7,0.23,8.2,0.79,0.85
407,1.56,0.91,188.3,3,0.196,0.051,23.3,0,2.44,0.792,526.7,17.3,10.4,0.29,8.3,0.55,0.9
408,1.9,1.22,130.5,1,0.085,0.341,9.2,1,3.71,0.123,424.4,19.0,6.4,0.33,10.4,0.94,0.83
409,2.02,0.51,135.2,3,0.292,0.244,11.2,1,3.97,0.221,427.6,16.2,2.2,0.45,3.8,0.57,0.82
410,1.11,1.6,145.3,2,0.495,0.129,17.2,0,2.29,0.893,520.8,13.9,9.0,0.43,21.7,0.8,0.82
411,1.87,1.59,102.1,3,0.428,0.33,8.5,4,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.62,0.95
412,2.45,1.04,174.4,1,0.46,0.189,7.7,0,2.21,0.71,545.2,21.3,6.9,0.47,12.8,0.67,0.87
413,1.68,1.92,127.6,1,0.021,0.26,13.6,0,2.2,0.845,537.4,18.1,9.3,0.35,27.8,0.84,0.89
414,0.8,1.95,162.4,1,0.152,0.144,25.0,2,2.94,0.453,456.7,22.4,10.0,0.33,5.6,0.83,0.8
415,1.0,1.03,128.3,4,0.333,0.384,8.9,3,2.47,0.843,488.7,21.8,11.5,0.34,5.7,0.68,0.6
416,2.12,1.46,142.3,0,0.447,0.46,19.9,1,4.0,0.197,429.3,23.3,3.7,0.28,7.6,0.71,0.84
417,1.11,0.95,192.7,3,0.273,0.188,26.9,0,2.37,0.883,511.0,19.2,14.3,0.33,9.5,0.71,0.88
